jan_country,jancd,itemnm,scat1cd,scat1nm,scat2cd,scat2nm,scat3cd,scat3nm,scat4cd,scat4nm,scatnm,makercd,makernm,itemkikaku
395,4,4,4,4,4,4,4,4,0,0,4,2,2,4
396,2,2,2,2,2,2,2,2,0,0,2,1,1,2
397,10,10,10,10,10,10,10,10,0,0,10,10,10,10
398,26,26,26,26,26,26,26,26,0,0,26,26,26,26
399,1,1,1,1,1,1,1,1,0,0,1,1,1,1
4,1,1,1,1,1,1,1,1,0,0,1,1,1,1
400,2661,2654,2661,2661,2661,2661,2635,2635,88,88,2661,1001,813,2661
401,215,215,215,215,215,215,213,213,0,0,215,144,105,215
402,109,109,109,109,109,109,105,105,17,17,109,79,78,109
403,174,174,174,174,174,174,172,172,0,0,174,42,31,174
404,169,169,169,169,169,169,168,168,9,9,169,133,127,169
405,192,192,192,192,192,192,191,191,3,3,192,58,30,192
406,218,218,218,218,218,218,218,218,2,2,218,146,128,218
407,149,149,149,149,149,149,146,146,0,0,149,112,104,149
408,105,105,105,105,101,101,78,78,5,5,105,40,33,105
409,130,130,130,130,128,128,126,126,21,21,130,96,74,130
410,247,247,247,247,247,247,246,246,1,1,247,156,150,247
411,21,21,21,21,21,21,21,21,0,0,21,7,7,21
412,15,15,15,15,15,15,15,15,0,0,15,6,3,15
413,21,21,21,21,21,21,21,21,1,1,21,5,5,21
414,35,35,35,35,35,35,35,35,0,0,35,30,13,35
415,12,12,12,12,12,12,12,12,0,0,12,8,8,12
416,5,5,5,5,5,5,5,5,0,0,5,1,1,5
417,12,12,12,12,12,12,12,12,0,0,12,4,4,12
418,5,5,5,5,5,5,5,5,0,0,5,1,1,5
419,12,12,12,12,12,12,12,12,3,3,12,3,1,12
420,32,32,32,32,32,32,30,30,3,3,32,10,9,32
421,9,9,9,9,9,9,9,9,0,0,9,6,4,9
422,13,13,13,13,13,13,13,13,0,0,13,7,7,13
423,5,5,5,5,5,5,5,5,0,0,5,3,2,5
424,15,15,15,15,15,15,15,15,0,0,15,9,9,15
425,16,16,16,16,16,16,16,16,0,0,16,7,6,16
426,56,55,56,56,56,56,54,54,0,0,56,37,37,56
427,10,10,10,10,10,10,10,10,6,6,10,6,6,10
428,283,283,283,283,282,282,268,268,0,0,283,123,123,283
429,12,12,12,12,12,12,12,12,3,3,12,3,3,12
430,72,72,72,72,72,72,72,72,0,0,72,46,34,72
431,42,42,42,42,42,42,42,42,1,1,42,20,3,42
432,210,210,210,210,206,206,190,190,0,0,210,29,29,210
433,14,14,14,14,14,14,14,14,3,3,14,6,6,14
434,9,9,9,9,9,9,9,9,1,1,9,1,1,9
435,3,3,3,3,3,3,3,3,0,0,3,1,1,3
436,12,12,12,12,12,12,12,12,0,0,12,2,2,12
437,19,19,19,19,19,19,19,19,0,0,19,7,4,19
438,15,15,15,15,15,15,15,15,12,12,15,7,7,15
439,9,9,9,9,9,9,9,9,0,0,9,2,2,9
440,11,11,11,11,11,11,11,11,2,2,11,5,4,11
441,8,8,8,8,8,8,8,8,1,1,8,3,3,8
442,9,9,9,9,9,9,9,9,0,0,9,0,0,9
