item_cd,item_name,category1_cd,category2_cd,category3_cd,itemnm,count,amount,f0_
4515057000065,天野酒　吉祥　吟醸　７２０ｍｌ,249,2492,327,西條 地酒_天野酒「吉祥」吟醸酒_７２０ｍｌ,1,2148,1
4515057000096,天野酒　　純米吟醸りょく　１．８Ｌ,249,2492,334,西條 地酒_天野酒りょく純米大吟醸酒_１．８Ｌ,4,20000,4
4515057000102,天野酒　純米酒　れい　１．８Ｌ,249,2492,323,西條 地酒_天野酒醴特別純米酒_１．８Ｌ,1,9488,4
4515057000126,天野酒　本醸造　１．８Ｌ,249,2492,321,西條 地酒_天野酒天野酒本醸造本醸造酒_１．８Ｌ,2,4150,2
4515057000133,天野酒　花紋　１．８Ｌ,249,2492,322,西條 地酒_天野酒花紋普通酒_１．８Ｌ,4,6936,4
4515057000140,天野酒　花紋原酒　１．８Ｌ,249,2492,305,西條 地酒_天野酒花紋原酒_１．８Ｌ,4,8384,4
4515057000157,天野酒　吟醸原酒　７２０ｍｌ,249,2492,935,西條 地酒_天野酒吟醸原酒吟醸酒_７２０ｍｌ,9,14877,9
4515057000171,天野酒　クール　１８００ｍｌ,249,2492,936,西篠 天野酒クール ﾋﾞﾝ 1800ml,16,36432,16
4515057000379,天野酒　吟醸　３００ｍｌ,249,2492,332,西條 地酒_天野酒天野酒吟醸吟醸酒_３００ｍｌ,11,6565,13
4515057000409,天野酒　吟醸　醸るり７２０ｍｌ,249,2492,333,西條 地酒_天野酒吟醸醸るり吟醸酒_７２０ｍｌ,11,12782,11
4515057000416,天野酒　天遊（てんゆう）７２０ｍｌ,249,2492,949,西條 地酒_天野酒天游純米大吟醸酒_７２０ｍｌ,3,7281,3
4515057000430,天野酒　吟醸原酒　１．８Ｌ,249,2492,953,西條 地酒_天野酒吟醸原酒吟醸酒_１．８Ｌ,1,3020,1
4515057000447,天野酒　クール　７２０ｍｌ,249,2492,619,ｱﾏﾉｻﾞｹ ｸ-ﾙ 720ML,29,34230,30
4515057000645,天野酒　特別純米　７２０ｍｌ,249,2492,311,西條 地酒_天野酒天野酒特別純米酒純米酒_７２０ｍｌ,6,7244,6
4515057000652,天野酒　純米吟醸　３００ｍｌ,249,2492,959,西條 地酒_天野酒天野酒純米吟醸吟醸酒_３００ｍｌ,7,3871,7
4515057000683,天野酒　僧房酒　３００ｍｌ,249,2492,960,天野酒　僧房酒　３００ｍｌ,2,3334,2
4515057001000,?,249,2492,991,天野酒　夏冷純米セット　２本入り,7,20118,7
4515057001017,?,249,2492,990,天野酒　夏冷大吟醸セット　３本入り,4,10306,2
4515057001062,天野酒　梅酒　５００ｍｌ　※終売,249,2508,902,西條合資会社 天野酒濃醇梅酒_５００ｍｌ,1,1020,1
4515057001802,天野酒　玄理　７２０ｍｌ,249,2492,394,天野酒　玄理　７２０ｍｌ,1,1629,1
4515057001826,?,249,2492,55,天野酒　大吟醸　１．８Ｌ,1,10000,1
4515057001833,天野酒　大吟醸　７２０ｍｌ,249,2492,173,西條 地酒_天野酒天野酒大吟醸大吟醸酒_７２０ｍｌ,2,10000,2
4515841006020,銀河高原ビール　小麦のビール　３５０ｍｌ,249,2491,761,銀河高原ビール 小麦のビール_３５０ｍｌ_缶,1137,364185,1360
4515841006235,銀河高原ビール　ペールエール　３５０ｍｌ,249,2491,68,銀河高原ビール ペールエール_３５０ｍｌ_缶,288,81927,306
