item_cd_2,item_name_1,itemnm,count,amount,quantity
4589470060111,黒木本店　喜六　芋　２５度　７２０ｍｌ,黒木本店 喜六_２５度_乙_芋_７２０ml,2,2960,2
4589794209388,エノテカ　人気ワイン３本セット　７５０ｍｌ×３本,,1,2980,1
47478619,ヤッホーブルーイングよなよなエールー　３５０ｍｌ,ヤッホー・ブルーイング よなよなエール_３５０ｍｌ_缶,83,23560,95
4900892112019,剣菱　特撰　９００ｍｌ,剣菱酒造 ＮＢ_極上黒松本醸造酒_９００ｍｌ,6,6962,6
4900892211019,剣菱　上撰　１８００ｍｌ,剣菱酒造 ＮＢ_黒松本醸造酒_１．８Ｌ,5,11262,6
4901004006677,アサヒ　オリオンドラフト　３５０ｍｌ,アサヒ オリオン_ドラフト_３５０ｍｌ_缶,115,27720,140
4901004006684,アサヒ　オリオンドラフト　３５０ｍｌＸ６本,アサヒ オリオン_ドラフト_３５０ｍｌ×６_缶,18,21384,18
4901004006714,アサヒ　ス・パ・ドライ　３５０ｍｌ,アサヒ スーパードライ_３５０ｍｌ_缶,1743,484308,2446
4901004006721,アサヒ　ス・パ・ドライ　３５０ｍｌＸ６本,アサヒ スーパードライ_３５０ｍｌ×６_缶,883,1055816,962
4901004006813,アサヒ　ス・パ・ドライ　５００ｍｌ,アサヒ スーパードライ_５００ｍｌ_缶,1270,436536,1692
4901004006820,アサヒ　ス・パ・ドライ　５００ｍｌＸ６本,アサヒ スーパードライ_５００ｍｌ×６_缶,347,539766,367
4901004007612,アサヒ　ス・パ・ドライ　２５０ｍｌ,アサヒ スーパードライ_２５０ｍｌ_缶,489,147718,942
4901004007629,アサヒ　ス・パ・ドライ　２５０ｍｌ×６本,アサヒ スーパードライ_２５０ｍｌ×６_缶,28,28260,30
4901004007810,アサヒ　スーパードライ樽　２０００ｍｌ,アサヒ スーパードライ_２Ｌ_樽,19,35776,26
4901004008176,アサヒ　クリアアサヒ　５００ｍｌ,アサヒ クリアアサヒ_５００ｍｌ_缶,639,149656,937
4901004008190,アサヒ　クリアアサヒ　３５０ｍｌ,アサヒ クリアアサヒ_３５０ｍｌ_缶,854,142716,1217
4901004008220,アサヒ　クリアアサヒ　５００ｍｌＸ６本,アサヒ クリアアサヒ_５００ｍｌ×６_缶,201,202712,219
4901004008237,アサヒ　クリアアサヒ　５００ｍｌＸ２４本,アサヒ クリアアサヒ_５００ｍｌ×６×４_缶,6,22272,6
4901004008244,アサヒ　クリアアサヒ　３５０ｍｌＸ６本,アサヒ クリアアサヒ_３５０ｍｌ×６_缶,613,423672,654
4901004008251,アサヒ　クリアアサヒ　３５０ｍｌＸ２４本,アサヒ クリアアサヒ_３５０ｍｌ×６×４_缶,35,104200,40
4901004009319,アサヒ　ス・パ・ドライ　６３３ｍｌ,アサヒ スーパードライ_６３３ｍｌ_瓶,67,45466,127
4901004019547,アサヒ　スーパードライ　オリンピックキャンペーンパック　５００ｍｌ×２４本,アサヒ スーパードライ_５００ｍｌ×６×４_缶,5,29520,5
4901004019554,アサヒ　スーパードライ　キャンペーンパック　３５０ｍｌ×２４本,アサヒ スーパードライ_３５０ｍｌ×６×４_缶,58,263000,60
4901004027160,アサヒ　オフ　５００ｍｌ,アサヒ アサヒオフ_５００ｍｌ_缶,250,54984,348
4901004027184,アサヒ　オフ　３５０ｍｌ,アサヒ アサヒオフ_３５０ｍｌ_缶,701,111024,1028
4901004027207,アサヒ　オフ　５００ｍｌＸ６本,アサヒ アサヒオフ_５００ｍｌ×６_缶,83,78144,88
4901004027221,アサヒ　オフ　５００ｍｌＸ２４本,アサヒ アサヒオフ_５００ｍｌ×６×４_缶,1,3552,1
4901004027238,アサヒ　オフ　３５０ｍｌＸ６本,アサヒ アサヒオフ_３５０ｍｌ×６_缶,620,409630,685
4901004027245,アサヒ　オフ　３５０ｍｌＸ２４本,アサヒ アサヒオフ_３５０ｍｌ×６×４_缶,10,26312,11
4901004028860,アサヒ　ス・パ・ドライ　キャンペーンパック　５００ｍｌ×２４本,アサヒ スーパードライ_５００ｍｌ×６×４_缶,5,36432,6
4901004028877,アサヒ　スーパードライ　キャンペーンパック　３５０ｍｌ×２４本,アサヒ スーパードライ_３５０ｍｌ×６×４_缶,15,74304,17
4901004034373,アサヒ　クリアアサヒ贅沢ゼロ５００ｍｌ,アサヒ クリアアサヒ贅沢ゼロ_５００ｍｌ_缶,189,36480,228
4901004034397,アサヒ　クリアアサヒ贅沢ゼロ３５０ｍｌ,アサヒ クリアアサヒ贅沢ゼロ_３５０ｍｌ_缶,390,67732,574
