jancd,makercd,itemnm,itemkn,tanka,itemkikaku,itemtani,irisu,width,height,depth,jcat1cd,jcat2cd,jcat3cd,jcat4cd,jcatnm,scat1cd,scat2cd,scat3cd,scat4cd,scat1nm,scat2nm,scat3nm,scat4nm,syubaiflg,hatdate,instime,updtime,delete_flg
2400024179665,4901411,淡麗グリーン　350ml,,0,350.0,ml,1,0,0,0,,,,,,014,041,003,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒機能系,0,,2017-09-20 00:00:00,2019-10-23 00:00:00,0
2400024179702,4901411,氷結　レモン,,0,0.0,,0,0,0,0,,,,,,014,083,002,002,飲料･酒類,RTD,柑橘系,柑橘中アル(4-7%),0,,2017-09-20 00:00:00,2019-10-23 00:00:00,0
2400024179733,4901411,氷結　グレープフルーツ,,0,0.0,,0,0,0,0,,,,,,014,083,002,002,飲料･酒類,RTD,柑橘系,柑橘中アル(4-7%),0,,2017-09-20 00:00:00,2019-10-23 00:00:00,0
2400024179757,4901777,サントリー ほろよい＜もも＞_３５０ｍｌ_缶,,0,350.0,ml,1,0,0,0,,,,,,014,083,003,003,飲料･酒類,RTD,ﾊﾞﾗｴﾃｨ系,ﾊﾞﾗｴﾃｨ低アル(3%以下),0,,2017-09-20 00:00:00,2019-11-07 00:00:00,0
2400024179764,4901777,サントリー ほろよい＜白いサワー＞_缶,,0,350.0,ml,1,0,0,0,,,,,,014,083,003,003,飲料･酒類,RTD,ﾊﾞﾗｴﾃｨ系,ﾊﾞﾗｴﾃｨ低アル(3%以下),0,,2017-09-20 00:00:00,2019-11-07 00:00:00,0
2400024179788,4901777,角ハイボール,,0,0.0,,0,0,0,0,,,,,,014,083,001,002,飲料･酒類,RTD,ﾄﾞﾗｲ(食中)系,ﾄﾞﾗｲ中アル(4-7%),0,,2017-09-20 00:00:00,2019-10-23 00:00:00,0
2400024181347,4901777,サントリー ほろよい＜はちみつレモン＞_缶,,0,350.0,ml,1,0,0,0,,,,,,014,083,003,003,飲料･酒類,RTD,ﾊﾞﾗｴﾃｨ系,ﾊﾞﾗｴﾃｨ低アル(3%以下),0,,2017-09-20 00:00:00,2019-11-07 00:00:00,0
2400024181354,4901777,サントリー ほろよい＜コーラサワー＞_３５０ｍｌ_缶,,0,350.0,ml,1,0,0,0,,,,,,014,083,003,003,飲料･酒類,RTD,ﾊﾞﾗｴﾃｨ系,ﾊﾞﾗｴﾃｨ低アル(3%以下),0,,2017-09-20 00:00:00,2019-11-07 00:00:00,0
2400024197768,4901004,もぎたて　まるごと搾りレモン,,0,0.0,,0,0,0,0,,,,,,014,083,002,001,飲料･酒類,RTD,柑橘系,柑橘高アル(8%以上),0,,2017-09-20 00:00:00,2019-10-23 00:00:00,0
2400024197829,4901411,淡麗極上生　500ml,,0,500.0,ml,1,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,,2017-09-20 00:00:00,2019-10-23 00:00:00,0
